year,home,away,p_home,p_draw,p_away,outcome,pred,stage
2018,Brazil,Costa Rica,0.764,0.162,0.073,0,0,Gironi
2018,Nigeria,Iceland,0.234,0.272,0.494,0,2,Gironi
2018,Serbia,Switzerland,0.24,0.274,0.486,2,2,Gironi
2018,Germany,Sweden,0.601,0.239,0.16,0,0,Gironi
2018,Belgium,Tunisia,0.675,0.208,0.117,0,0,Gironi
2018,South Korea,Mexico,0.15,0.233,0.617,2,2,Gironi
2018,Japan,Senegal,0.312,0.287,0.4,1,2,Gironi
2018,Poland,Colombia,0.262,0.28,0.458,2,2,Gironi
2018,England,Panama,0.663,0.213,0.124,0,0,Gironi
2018,Russia,Uruguay,0.207,0.262,0.531,2,2,Gironi
2018,Saudi Arabia,Egypt,0.291,0.285,0.424,0,2,Gironi
2018,Spain,Morocco,0.728,0.182,0.09,1,0,Gironi
2018,Iran,Portugal,0.21,0.264,0.526,1,2,Gironi
2018,Australia,Peru,0.253,0.277,0.47,2,2,Gironi
2018,Denmark,France,0.196,0.258,0.547,1,2,Gironi
2018,Nigeria,Argentina,0.192,0.256,0.552,2,2,Gironi
2018,Iceland,Croatia,0.152,0.234,0.615,2,2,Gironi
2018,South Korea,Germany,0.08,0.17,0.75,0,2,Gironi
2018,Mexico,Sweden,0.525,0.264,0.211,2,0,Gironi
2018,Serbia,Brazil,0.072,0.16,0.769,2,2,Gironi
2018,Switzerland,Costa Rica,0.558,0.254,0.188,1,0,Gironi
2018,England,Belgium,0.342,0.289,0.369,2,2,Gironi
2018,Panama,Tunisia,0.345,0.289,0.366,2,2,Gironi
2018,Japan,Poland,0.394,0.288,0.318,2,0,Gironi
2018,Senegal,Colombia,0.249,0.276,0.474,2,2,Gironi
2018,France,Argentina,0.478,0.276,0.247,0,0,Ottavi
2018,Uruguay,Portugal,0.339,0.289,0.372,0,2,Ottavi
2018,Russia,Spain,0.1,0.192,0.707,1,2,Ottavi
2018,Croatia,Denmark,0.444,0.282,0.274,1,0,Ottavi
2018,Brazil,Mexico,0.679,0.206,0.115,0,0,Ottavi
2018,Belgium,Japan,0.664,0.213,0.123,0,0,Ottavi
2018,Sweden,Switzerland,0.311,0.287,0.401,0,2,Ottavi
2018,Colombia,England,0.356,0.289,0.355,1,0,Ottavi
2018,Uruguay,France,0.306,0.287,0.408,2,2,Quarti
2018,Brazil,Belgium,0.508,0.269,0.224,2,0,Quarti
2018,Sweden,England,0.312,0.287,0.401,2,2,Quarti
2018,Russia,Croatia,0.162,0.24,0.597,1,2,Quarti
2018,France,Belgium,0.363,0.289,0.348,0,0,Semifinali
2018,Croatia,England,0.303,0.286,0.411,0,2,Semifinali
2018,Belgium,England,0.457,0.28,0.263,0,0,Finale
2018,France,Croatia,0.512,0.267,0.22,0,0,Finale
2022,Qatar,Ecuador,0.236,0.271,0.493,2,2,Gironi
2022,Senegal,Netherlands,0.115,0.203,0.682,2,2,Gironi
2022,England,Iran,0.467,0.276,0.257,0,0,Gironi
2022,United States,Wales,0.407,0.285,0.308,1,0,Gironi
2022,Mexico,Poland,0.389,0.286,0.325,1,0,Gironi
2022,Argentina,Saudi Arabia,0.819,0.129,0.052,2,0,Gironi
2022,France,Australia,0.616,0.232,0.153,0,0,Gironi
2022,Denmark,Tunisia,0.596,0.239,0.165,1,0,Gironi
2022,Germany,Japan,0.487,0.272,0.241,2,0,Gironi
2022,Spain,Costa Rica,0.638,0.223,0.139,0,0,Gironi
2022,Morocco,Croatia,0.247,0.274,0.48,1,2,Gironi
2022,Belgium,Canada,0.572,0.248,0.18,0,0,Gironi
2022,Portugal,Ghana,0.775,0.155,0.07,0,0,Gironi
2022,Uruguay,South Korea,0.467,0.276,0.257,1,0,Gironi
2022,Switzerland,Cameroon,0.637,0.223,0.14,0,0,Gironi
2022,Brazil,Serbia,0.701,0.194,0.105,0,0,Gironi
2022,Qatar,Senegal,0.303,0.284,0.412,2,2,Gironi
2022,Netherlands,Ecuador,0.547,0.256,0.197,1,0,Gironi
2022,Wales,Iran,0.345,0.287,0.368,2,2,Gironi
2022,England,United States,0.538,0.259,0.203,1,0,Gironi
2022,Poland,Saudi Arabia,0.423,0.283,0.293,0,0,Gironi
2022,Argentina,Mexico,0.615,0.232,0.153,0,0,Gironi
2022,Tunisia,Australia,0.381,0.287,0.332,2,0,Gironi
2022,France,Denmark,0.443,0.28,0.277,0,0,Gironi
2022,Croatia,Canada,0.459,0.278,0.264,0,0,Gironi
2022,Japan,Costa Rica,0.494,0.27,0.236,2,0,Gironi
2022,Spain,Germany,0.529,0.261,0.209,1,0,Gironi
2022,Belgium,Morocco,0.611,0.233,0.155,2,0,Gironi
2022,South Korea,Ghana,0.621,0.23,0.149,2,0,Gironi
2022,Portugal,Uruguay,0.446,0.28,0.274,0,0,Gironi
2022,Cameroon,Serbia,0.155,0.233,0.612,1,2,Gironi
2022,Brazil,Switzerland,0.682,0.203,0.115,0,0,Gironi
2022,Ecuador,Senegal,0.487,0.272,0.241,2,0,Gironi
2022,Qatar,Netherlands,0.059,0.14,0.801,2,2,Gironi
2022,Wales,England,0.15,0.23,0.621,2,2,Gironi
2022,Iran,United States,0.363,0.287,0.35,2,0,Gironi
2022,Poland,Argentina,0.148,0.229,0.622,2,2,Gironi
2022,Saudi Arabia,Mexico,0.252,0.275,0.473,2,2,Gironi
2022,Australia,Denmark,0.219,0.265,0.516,0,2,Gironi
2022,Tunisia,France,0.1,0.189,0.711,0,2,Gironi
2022,Japan,Spain,0.161,0.237,0.601,0,2,Gironi
2022,Costa Rica,Germany,0.233,0.27,0.497,2,2,Gironi
2022,Croatia,Belgium,0.34,0.287,0.373,1,2,Gironi
2022,Canada,Morocco,0.241,0.272,0.487,2,2,Gironi
2022,South Korea,Portugal,0.138,0.222,0.641,0,2,Gironi
2022,Ghana,Uruguay,0.153,0.232,0.615,2,2,Gironi
2022,Serbia,Switzerland,0.299,0.284,0.417,2,2,Gironi
2022,Cameroon,Brazil,0.022,0.073,0.906,0,2,Gironi
